,lettr,xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybr,xy2br,xege,xegvy,yege,yegvx,label
11489,G,9,14,7,8,5,9,5,5,3,9,6,8,4,9,8,8,1
11490,G,5,10,5,8,4,5,7,6,6,10,8,10,2,8,5,9,1
11491,I,2,8,3,6,1,7,7,0,8,14,6,8,0,8,1,7,1
11492,C,2,4,3,3,1,5,9,5,6,12,9,10,1,10,2,7,1
11493,D,5,7,6,5,5,10,6,3,6,11,4,7,3,8,3,9,1
11494,J,3,7,4,5,2,8,7,1,6,14,4,7,0,7,0,7,1
11495,L,3,8,3,6,1,0,1,5,6,0,0,7,0,8,0,8,1
11496,R,7,13,6,7,5,8,6,3,5,8,5,9,6,9,6,7,0
11497,V,2,3,3,2,1,4,12,3,2,10,11,7,2,11,0,8,0
11498,M,11,12,11,7,6,6,9,5,4,4,4,11,11,14,3,8,1
11499,T,3,10,5,7,1,7,15,1,6,7,11,8,0,8,0,8,0
11500,U,6,10,8,7,5,4,8,7,8,9,11,11,3,9,1,8,0
11501,M,4,6,7,4,6,12,3,3,1,10,4,9,8,6,2,8,1
11502,J,3,10,4,8,4,8,6,2,4,11,5,10,1,6,2,6,1
11503,O,4,5,5,4,3,8,7,8,5,7,6,8,2,8,3,8,0
11504,Y,5,7,5,5,3,6,8,1,7,8,9,5,2,12,4,4,0
11505,B,6,9,5,4,4,9,7,3,5,10,5,7,6,6,7,9,1
11506,T,3,4,4,3,1,6,11,2,8,11,9,5,1,10,2,5,0
11507,Q,6,7,6,9,6,8,7,6,3,9,8,10,3,8,6,8,0
11508,O,7,8,9,7,6,5,7,6,6,8,5,6,3,7,5,7,0
11509,E,8,13,6,8,5,7,7,4,4,10,6,9,3,9,8,11,1
11510,I,3,8,5,6,3,7,7,0,7,13,6,8,0,8,1,8,1
11511,Z,3,9,4,6,2,7,7,4,13,10,6,8,0,8,8,8,0
11512,O,2,0,2,1,1,7,7,6,6,7,6,8,2,8,3,8,0
11513,V,2,8,4,6,1,9,8,4,2,6,13,8,3,10,0,8,0
11514,R,9,14,9,8,7,5,8,2,6,8,4,10,7,5,7,5,0
11515,M,5,11,6,9,4,8,7,12,2,6,9,8,9,6,0,8,1
11516,N,5,9,7,6,4,9,7,3,5,10,4,6,5,9,1,7,0
11517,S,6,11,6,6,3,6,9,3,5,13,8,7,2,9,3,7,0
11518,S,2,1,3,2,2,8,7,6,4,7,7,8,2,9,9,8,0
11519,D,4,5,5,4,4,7,7,7,7,7,6,5,2,8,3,7,1
11520,S,4,6,5,4,3,6,9,3,7,10,7,7,2,7,4,5,0
11521,M,6,9,8,8,10,8,7,4,3,7,6,7,10,8,6,5,1
11522,J,0,0,1,0,0,12,4,4,3,11,4,11,0,7,0,8,1
11523,D,4,8,6,6,4,7,8,7,6,10,6,5,3,8,4,8,1
11524,T,4,6,4,4,2,5,12,3,6,11,9,4,2,11,2,5,0
11525,R,6,11,6,8,7,5,10,8,3,7,4,8,2,7,5,11,0
11526,E,3,4,5,3,2,8,7,1,8,11,5,8,2,8,4,10,1
11527,O,9,13,6,7,4,5,6,7,4,9,7,9,5,9,5,8,0
11528,C,4,9,5,7,6,5,7,4,5,7,6,9,6,10,5,7,1
11529,G,2,1,3,2,2,7,7,5,5,6,6,9,2,9,4,9,1
11530,T,4,9,4,4,2,5,11,2,6,11,8,5,2,8,3,5,0
11531,A,3,9,6,7,4,11,3,1,2,8,3,9,4,5,3,8,1
11532,J,6,9,5,7,3,8,9,2,3,13,4,5,2,9,7,8,1
11533,B,9,11,7,6,4,10,4,5,6,11,3,9,5,7,6,11,1
11534,T,2,1,3,1,1,7,11,3,5,7,10,8,2,11,1,8,0
11535,W,5,6,5,4,4,5,11,3,2,9,8,7,6,12,2,7,0
11536,D,9,15,8,8,6,8,6,3,7,10,5,7,6,8,8,5,1
11537,E,4,8,4,6,2,3,6,6,11,7,7,14,0,8,7,7,1
11538,V,3,3,4,2,1,3,12,4,3,11,11,7,2,11,1,8,0
11539,H,10,13,11,8,7,9,6,4,5,11,3,7,6,7,5,7,1
11540,V,9,13,7,7,4,9,10,5,5,6,10,6,5,12,3,6,0
11541,M,9,13,10,8,6,11,11,7,3,4,7,9,9,13,3,6,1
11542,D,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,1
11543,C,5,9,6,6,3,5,8,8,9,9,8,12,2,10,4,9,1
11544,D,5,10,5,8,6,6,8,9,7,6,5,6,2,8,3,7,1
11545,R,9,13,7,7,4,9,5,5,6,9,4,9,6,6,7,11,0
11546,U,3,4,4,2,2,5,8,5,7,10,8,9,3,9,2,6,0
11547,G,7,9,7,7,5,5,7,6,6,10,8,11,2,9,4,10,1
11548,F,2,3,2,2,1,5,10,4,5,10,9,6,1,10,3,7,1
11549,K,5,8,8,7,7,9,6,2,4,9,3,8,4,6,7,11,1
11550,W,8,10,8,5,3,6,10,2,2,8,10,7,8,12,1,7,0
11551,B,5,8,7,6,9,8,8,5,3,7,7,7,6,10,9,9,1
11552,S,5,9,7,8,8,8,7,5,6,7,6,8,6,8,10,13,0
11553,P,6,11,5,6,3,8,7,5,3,12,3,6,5,9,4,8,0
11554,J,2,5,4,4,1,9,7,2,7,14,4,8,0,7,0,7,1
11555,L,2,1,2,1,0,2,1,6,5,0,2,5,0,8,0,8,1
11556,K,5,10,5,5,3,5,8,3,6,9,8,9,5,7,3,8,1
11557,K,5,8,7,6,4,5,8,2,7,10,9,10,3,8,3,7,1
11558,S,4,9,6,7,4,7,8,3,7,10,5,7,2,7,4,8,0
11559,L,3,6,4,4,2,5,3,1,8,8,2,10,0,7,2,7,1
11560,W,7,9,7,7,6,2,11,2,3,10,10,8,6,11,2,7,0
11561,Q,7,15,6,8,5,11,4,4,6,10,5,7,3,9,7,12,0
11562,E,4,9,6,8,7,6,9,5,5,7,7,11,6,10,9,10,1
11563,Z,3,8,5,6,3,7,9,2,9,11,7,7,1,9,6,6,0
11564,K,3,7,5,5,5,5,7,4,7,6,5,10,3,8,4,9,1
11565,K,3,3,5,2,2,7,6,2,7,10,6,10,4,7,3,8,1
11566,W,6,10,6,7,6,3,10,2,3,10,10,8,6,11,2,6,0
11567,B,3,7,3,5,3,6,8,8,6,7,5,7,2,8,9,10,1
11568,J,2,7,2,5,1,13,2,8,4,13,4,12,1,6,0,8,1
11569,H,5,6,8,4,5,8,7,3,6,10,5,8,4,9,4,8,1
11570,S,6,10,8,8,11,7,7,3,2,7,6,7,3,8,12,2,0
11571,V,3,3,5,5,1,7,8,4,3,7,13,8,3,9,0,8,0
11572,N,3,6,5,4,3,6,9,6,4,8,7,8,5,8,1,7,0
11573,B,6,9,8,7,8,8,7,5,6,9,6,6,4,10,6,9,1
11574,A,3,7,5,5,2,12,3,4,3,11,2,10,2,6,3,9,1
11575,H,3,5,5,4,3,7,7,3,6,10,6,8,3,8,3,8,1
11576,X,6,12,7,7,4,8,7,2,7,11,4,6,4,8,4,7,0
11577,N,6,11,8,8,5,10,8,3,5,9,3,5,6,9,1,7,0
11578,V,7,10,7,7,3,4,11,2,4,9,11,7,4,10,1,7,0
11579,Z,2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,8,0
11580,S,1,0,2,1,0,8,8,4,7,5,6,7,0,8,7,8,0
11581,V,3,8,5,6,1,6,8,4,3,8,14,8,3,10,0,8,0
11582,Y,4,7,6,5,3,10,10,1,6,2,10,8,1,11,1,9,0
11583,C,1,3,2,1,1,4,8,4,6,10,9,12,1,8,2,8,1
11584,L,2,5,3,4,2,7,4,1,8,8,2,10,0,7,2,8,1
11585,Q,4,5,5,6,4,7,10,4,4,7,10,11,3,9,6,7,0
11586,X,7,10,7,5,3,5,8,3,8,10,11,11,4,11,4,5,0
11587,S,7,10,7,5,3,7,8,4,3,13,8,7,3,9,4,8,0
11588,R,10,15,8,8,5,7,7,5,5,9,5,9,7,5,7,11,0
11589,F,6,9,8,7,6,5,11,6,5,12,8,5,3,9,2,5,1
11590,M,1,0,2,0,0,7,6,9,0,7,8,8,5,6,0,8,1
11591,K,6,10,9,7,5,4,8,2,7,10,10,11,3,8,4,6,1
11592,J,5,10,4,7,3,7,11,3,3,13,5,4,2,7,6,8,1
11593,T,3,5,4,4,2,5,12,2,7,11,9,4,1,11,2,5,0
11594,C,6,8,7,7,7,6,7,5,5,6,6,11,7,10,9,8,1
11595,W,9,11,8,8,7,5,10,4,3,9,8,7,9,11,3,5,0
11596,H,4,8,5,6,5,7,6,13,2,7,7,8,3,8,0,8,1
11597,E,4,9,6,6,6,6,8,6,8,6,5,10,3,8,6,9,1
11598,W,1,0,2,1,1,7,8,3,0,7,8,8,5,10,0,8,0
11599,H,2,1,3,2,2,9,7,6,5,7,6,6,3,8,3,7,1
11600,U,6,11,8,9,5,5,8,6,7,7,9,10,3,9,1,8,0
11601,Z,1,0,2,0,0,7,7,2,10,8,6,8,0,8,6,8,0
11602,O,2,1,3,2,2,8,7,7,5,7,6,8,2,8,3,8,0
11603,F,2,3,4,1,1,6,10,3,5,13,7,5,1,9,1,7,1
11604,T,5,6,7,5,5,5,7,3,8,7,6,10,3,7,7,5,0
11605,I,1,6,2,4,1,7,7,1,8,7,6,8,0,8,3,8,1
11606,A,2,2,4,4,2,8,2,2,2,8,2,8,2,6,3,7,1
11607,J,1,1,2,1,1,10,6,2,6,12,4,8,0,7,1,7,1
11608,U,4,8,5,6,3,6,9,6,6,5,9,10,3,9,1,8,0
11609,R,5,10,6,7,6,6,9,8,4,7,5,8,2,7,5,11,0
11610,T,4,10,6,7,2,7,15,1,6,7,11,8,0,8,0,8,0
11611,J,6,7,8,9,8,8,8,4,6,6,6,7,5,9,11,11,1
11612,U,3,4,4,3,2,5,8,5,7,10,9,8,3,9,2,6,0
11613,C,5,8,6,6,4,6,8,6,9,6,6,13,1,8,4,9,1
11614,T,9,13,8,7,3,8,7,4,9,13,5,7,2,9,6,6,0
11615,V,2,6,4,4,1,8,8,4,2,6,13,8,3,10,0,8,0
11616,Q,6,7,8,6,6,8,3,4,5,7,3,9,4,5,5,7,0
11617,Q,4,5,5,6,5,8,8,6,1,7,6,11,3,9,6,8,0
11618,Q,1,0,2,1,0,8,7,6,3,6,6,9,2,8,3,8,0
11619,K,5,10,5,7,2,4,8,9,2,7,6,11,4,8,2,11,1
11620,C,7,12,5,6,4,7,6,4,3,9,8,11,4,9,8,11,1
11621,A,3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,1
11622,Z,3,8,4,6,3,8,7,3,12,9,6,8,0,8,7,7,0
11623,U,6,10,6,7,5,4,8,5,7,9,7,9,7,9,5,3,0
11624,D,5,11,6,8,5,11,6,3,7,11,2,6,3,8,3,9,1
11625,M,5,8,7,6,6,8,7,2,4,9,7,8,7,6,2,8,1
11626,Y,5,10,8,8,4,7,10,2,7,6,12,9,2,11,2,8,0
11627,Z,2,7,3,5,3,6,8,5,10,7,6,10,1,9,8,7,0
11628,H,4,7,6,10,6,8,12,5,2,9,7,5,4,11,8,4,1
11629,B,4,7,5,5,6,8,7,6,6,6,6,6,2,8,6,9,1
11630,D,2,3,3,1,2,8,6,4,6,10,4,6,2,8,2,8,1
11631,R,5,11,6,8,3,5,10,9,4,7,4,8,3,7,6,11,0
11632,R,2,1,2,1,1,6,9,8,4,7,5,8,2,7,4,11,0
11633,U,7,9,7,6,5,4,8,5,8,9,6,9,7,9,6,2,0
11634,N,5,8,7,6,4,9,7,6,6,6,6,4,6,9,2,5,0
11635,K,6,9,8,7,6,9,5,1,6,10,4,9,5,6,5,10,1
11636,N,6,11,8,8,6,8,7,9,5,6,4,4,4,8,4,9,0
11637,S,4,10,5,7,3,8,8,6,9,4,6,7,0,8,9,7,0
11638,E,3,6,3,4,3,4,7,5,8,7,6,13,0,8,6,9,1
11639,F,5,11,5,8,4,1,13,4,4,12,10,7,0,8,2,6,1
11640,T,6,9,8,6,6,6,7,7,7,8,10,8,5,7,7,9,0
11641,K,8,14,8,8,5,10,6,3,6,11,2,6,5,8,4,9,1
11642,K,4,9,4,6,2,3,7,7,2,7,5,11,3,8,3,10,1
11643,E,3,7,3,5,2,3,7,6,10,7,6,14,0,8,7,7,1
11644,I,2,7,4,5,3,10,5,1,5,7,5,5,2,8,4,7,1
11645,L,6,11,9,8,11,7,8,3,6,5,7,10,6,12,10,6,1
11646,A,5,10,9,7,6,7,5,2,4,5,1,6,5,7,5,5,1
11647,W,11,15,12,9,8,7,8,3,4,7,9,7,12,9,3,5,0
11648,A,4,9,6,6,3,11,2,3,3,10,2,9,2,6,3,8,1
11649,Q,2,4,3,5,3,8,9,6,1,5,8,10,2,9,5,10,0
11650,D,3,1,4,3,2,7,7,7,7,7,6,5,2,8,3,7,1
11651,C,4,4,5,7,2,5,7,7,10,7,6,14,1,8,4,9,1
11652,G,4,5,5,4,3,6,7,6,6,9,7,10,2,9,4,9,1
11653,V,3,8,5,6,3,6,11,2,4,8,11,8,2,10,1,9,0
11654,T,5,6,6,5,5,6,8,4,8,8,7,9,3,8,6,6,0
11655,A,3,8,5,5,2,7,4,3,1,7,1,8,3,7,2,8,1
11656,O,5,8,7,6,8,7,9,5,2,7,6,7,10,9,6,10,0
11657,O,3,5,4,3,2,8,7,7,5,9,5,8,2,8,3,8,0
11658,D,4,9,5,7,3,5,7,10,8,7,6,5,3,8,4,8,1
11659,M,7,8,9,6,6,10,5,3,5,9,3,6,10,6,2,9,1
11660,U,3,7,5,5,4,9,6,7,5,7,6,8,3,8,4,5,0
11661,R,1,0,2,0,1,6,9,7,3,7,5,8,2,7,4,10,0
11662,W,4,7,6,5,3,5,8,5,1,7,8,8,8,9,0,8,0
11663,H,3,5,5,7,4,11,6,3,1,8,6,9,3,8,8,12,1
11664,F,4,5,5,7,2,1,14,5,4,12,10,5,0,8,2,5,1
11665,G,3,5,4,4,2,6,7,5,5,9,7,10,2,8,4,10,1
11666,T,3,11,5,8,1,7,14,0,6,7,11,8,0,8,0,8,0
11667,L,2,5,3,4,1,5,5,1,9,7,2,11,0,7,2,8,1
11668,Y,4,9,7,7,3,6,10,2,8,7,12,8,1,11,2,8,0
11669,Q,4,4,6,6,3,7,7,7,6,5,7,7,3,8,5,9,0
11670,L,4,9,6,6,3,7,3,1,8,8,2,10,2,5,4,7,1
11671,R,1,3,3,1,1,9,7,3,4,10,3,7,2,7,2,10,0
11672,T,5,9,6,7,7,6,8,3,6,7,6,10,5,8,5,7,0
11673,B,4,9,4,7,4,6,7,9,7,7,6,7,2,8,9,10,1
11674,R,3,2,4,3,3,6,7,4,6,6,5,7,3,7,5,8,0
11675,E,3,4,3,6,2,3,8,6,11,7,5,15,0,8,7,7,1
11676,D,6,10,8,8,7,7,7,7,5,7,6,6,4,8,3,7,1
11677,B,3,4,4,6,3,6,6,9,7,6,7,7,2,8,9,10,1
11678,N,7,11,10,8,12,8,7,4,5,7,6,6,8,10,10,5,0
11679,V,2,3,3,2,1,7,12,2,2,7,11,8,2,11,1,8,0
11680,G,7,12,6,6,4,6,7,7,5,9,7,6,4,8,5,6,1
11681,S,3,2,3,3,2,8,8,7,5,8,5,7,2,8,8,8,0
11682,D,5,9,7,6,4,10,6,3,8,11,4,6,4,6,4,8,1
11683,F,3,3,3,4,1,1,13,4,4,12,11,7,0,8,2,6,1
11684,S,4,8,5,6,4,7,7,5,7,5,6,9,0,9,8,8,0
11685,M,4,8,7,6,8,11,5,3,2,9,4,8,8,6,3,7,1
11686,I,2,7,3,5,2,7,7,0,7,13,6,8,0,8,1,8,1
11687,L,3,9,5,7,3,8,4,0,9,9,3,11,0,7,3,9,1
11688,C,9,12,6,7,3,8,8,6,8,12,6,8,2,9,5,9,1
11689,V,3,2,5,3,2,9,12,3,3,5,11,9,2,10,1,9,0
11690,A,3,9,5,6,3,6,3,2,3,5,2,8,2,6,3,6,1
11691,Q,4,6,6,8,6,8,7,7,2,5,6,10,3,8,5,10,0
11692,D,4,8,6,6,4,9,6,5,7,10,3,5,3,8,3,8,1
11693,U,4,5,4,7,2,7,5,15,5,7,13,8,3,9,0,8,0
11694,J,0,0,1,0,0,12,4,6,3,12,5,11,0,7,0,8,1
11695,H,6,8,9,6,7,5,8,3,7,10,9,9,4,9,4,6,1
11696,O,2,3,2,2,1,7,7,7,4,7,6,8,2,8,2,7,0
11697,Y,3,6,5,8,1,7,10,1,3,7,12,8,1,11,0,8,0
11698,K,8,10,11,8,6,8,6,2,7,10,4,9,4,8,4,9,1
11699,G,8,12,7,6,5,7,6,3,3,8,5,7,4,9,9,7,1
11700,C,3,6,4,4,1,5,8,6,10,6,7,11,1,7,4,8,1
11701,N,4,4,4,3,2,7,9,5,4,7,6,7,5,9,2,7,0
11702,X,6,8,8,6,6,7,7,2,5,6,6,7,3,9,10,9,0
11703,P,5,11,6,8,3,4,11,10,3,9,6,4,2,10,4,8,0
11704,T,3,7,5,5,3,8,12,3,7,7,11,8,2,11,1,8,0
11705,W,4,2,6,4,4,7,11,2,2,6,9,8,7,11,1,8,0
11706,N,5,4,5,6,2,7,7,15,2,4,6,8,6,8,0,8,0
11707,B,3,7,3,5,3,6,7,9,6,7,6,7,2,8,8,10,1
11708,A,7,10,9,8,9,8,6,7,4,7,6,9,6,8,8,3,1
11709,B,5,6,7,6,8,8,7,5,4,7,6,8,7,9,8,4,1
11710,B,2,7,3,5,2,6,7,8,6,7,6,7,2,8,8,10,1
11711,J,2,5,4,4,1,9,6,2,6,14,5,9,1,6,1,7,1
11712,B,3,5,5,3,3,10,6,3,6,10,4,7,2,8,4,11,1
11713,X,7,10,10,8,5,10,7,2,8,11,2,7,3,8,4,9,0
11714,F,2,3,2,2,1,5,10,3,4,10,9,5,1,9,2,7,1
11715,H,1,0,1,1,0,7,7,11,1,7,6,8,3,8,0,8,1
11716,C,5,10,6,8,2,6,7,7,10,6,6,15,1,8,4,9,1
11717,Y,5,11,6,8,3,7,10,1,3,7,12,8,1,11,0,8,0
11718,E,3,4,5,3,3,6,7,2,8,11,7,9,2,8,4,8,1
11719,K,7,13,8,7,5,7,8,2,6,10,4,8,5,5,4,7,1
11720,H,6,9,8,7,5,5,7,3,7,10,9,10,3,8,4,6,1
11721,B,3,1,3,2,2,7,7,5,5,6,6,6,2,8,6,9,1
11722,A,3,5,5,4,4,7,8,3,4,7,8,8,5,10,3,6,1
11723,R,2,3,4,2,2,9,7,2,5,10,3,6,2,7,3,9,0
11724,P,4,6,6,9,9,8,6,5,1,7,6,7,8,8,6,7,0
11725,Z,6,9,8,6,6,9,10,6,5,6,5,6,3,9,9,4,0
11726,W,8,9,8,5,3,3,11,2,3,11,11,8,7,11,0,7,0
11727,T,3,5,5,7,1,6,15,1,6,8,11,7,0,8,0,8,0
11728,Z,4,7,5,5,3,7,7,6,11,6,6,8,2,8,8,8,0
11729,K,4,10,6,7,8,9,7,3,4,5,6,8,7,9,7,6,1
11730,P,3,7,5,5,3,6,12,4,5,13,6,2,0,9,3,8,0
11731,X,5,8,8,6,4,6,8,1,8,10,8,8,3,8,4,7,0
11732,C,6,10,6,7,4,6,8,7,8,13,8,10,2,11,3,7,1
11733,U,3,1,4,2,2,6,9,5,6,7,9,9,3,9,1,8,0
11734,N,4,10,5,8,5,8,7,12,1,6,6,8,5,8,0,9,0
11735,X,2,4,4,3,2,10,7,1,8,10,3,7,2,7,3,8,0
11736,S,4,10,4,8,4,9,8,5,9,5,5,5,1,6,9,7,0
11737,F,2,1,2,2,1,6,10,4,5,10,9,5,1,10,3,6,1
11738,U,5,9,6,7,4,8,5,13,5,8,12,8,3,9,0,8,0
11739,P,2,3,2,1,1,6,10,5,4,9,7,4,1,9,3,7,0
11740,X,4,5,5,7,2,7,7,4,4,7,6,8,3,8,4,8,0
11741,Q,3,5,4,6,3,7,8,5,2,7,9,11,3,9,5,7,0
11742,K,3,3,5,2,2,8,6,2,6,10,5,10,3,8,3,9,1
11743,B,10,14,9,8,8,8,7,4,5,9,6,7,8,7,10,8,1
11744,D,3,7,5,5,7,9,9,4,4,7,6,5,4,9,8,6,1
11745,G,7,8,9,7,9,7,8,5,3,7,7,8,10,10,10,7,1
11746,B,3,6,4,4,4,6,8,7,4,7,5,6,2,8,6,6,1
11747,T,3,3,4,2,1,5,11,3,7,11,9,4,1,10,2,5,0
11748,Z,2,4,4,3,2,8,6,2,9,12,5,9,1,8,5,9,0
11749,C,4,8,5,6,2,6,9,7,10,5,7,12,1,6,4,8,1
11750,V,2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,0
11751,G,5,10,7,8,6,6,6,7,6,6,5,12,3,10,5,7,1
11752,M,5,8,7,6,8,8,7,6,5,6,7,8,8,6,2,7,1
11753,B,4,11,5,8,4,6,7,9,7,7,6,7,2,8,9,10,1
11754,N,5,9,7,7,6,6,7,7,6,7,5,8,6,7,3,7,0
11755,W,10,10,9,8,9,5,11,4,3,8,7,7,10,12,4,5,0
11756,N,2,3,2,1,1,7,8,6,4,7,6,7,4,8,1,7,0
11757,A,4,4,6,6,2,6,7,3,0,6,0,8,2,7,1,7,1
11758,R,4,9,6,7,6,8,7,7,3,8,5,7,4,7,7,10,0
11759,U,4,4,4,3,2,4,8,5,7,11,10,9,3,9,2,6,0
11760,R,2,3,3,2,2,7,7,5,4,9,5,7,2,7,3,10,0
11761,E,2,2,3,4,3,7,7,6,7,7,6,9,2,8,6,10,1
11762,M,5,10,7,5,4,12,2,2,2,10,3,9,5,4,1,9,1
11763,I,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,1
11764,A,5,7,7,5,7,7,8,8,4,7,5,8,4,8,9,4,1
11765,W,4,7,6,5,3,6,8,5,1,7,8,8,8,9,0,8,0
11766,J,4,10,5,8,3,8,7,2,6,14,5,9,1,7,1,7,1
11767,L,2,3,3,2,1,7,4,2,7,8,2,10,0,7,2,8,1
11768,O,4,5,5,7,3,7,8,9,8,7,8,8,3,8,4,8,0
11769,I,1,5,1,4,1,7,7,1,7,7,6,8,0,8,2,8,1
11770,K,1,0,1,0,0,5,7,7,1,7,6,11,2,8,2,11,1
11771,M,5,8,8,6,5,5,7,3,4,10,9,10,8,6,3,8,1
11772,N,10,13,9,7,4,7,10,5,5,3,5,11,6,11,3,6,0
11773,A,3,8,5,6,3,10,4,2,2,8,2,10,2,6,3,8,1
11774,G,4,6,5,4,5,9,8,6,2,5,7,9,6,10,3,8,1
11775,N,5,5,7,4,6,7,9,4,4,6,4,8,7,7,5,7,0
11776,F,4,8,4,6,3,1,13,4,3,12,10,7,0,8,2,6,1
11777,V,1,0,2,1,0,8,9,3,2,7,12,8,2,11,0,8,0
11778,G,4,5,5,4,3,6,7,5,6,9,7,10,2,8,4,9,1
11779,C,5,7,7,6,6,5,6,4,5,7,6,11,4,10,7,10,1
11780,Y,10,9,8,12,5,7,9,3,2,7,11,5,4,10,7,6,0
11781,Y,6,11,8,8,8,9,3,7,5,8,8,7,3,10,5,3,0
11782,W,4,4,5,3,3,4,11,3,2,9,9,7,6,11,1,7,0
11783,J,2,11,3,8,1,14,2,7,5,14,1,10,0,7,0,8,1
11784,F,4,6,6,4,3,8,10,2,6,14,5,4,2,10,2,8,1
11785,Q,5,7,6,6,5,7,4,4,5,6,3,7,3,7,5,7,0
11786,Y,4,9,6,7,3,5,11,2,3,8,12,8,1,11,0,8,0
11787,K,5,8,7,6,8,7,6,3,4,6,6,8,8,6,7,7,1
11788,H,4,6,5,4,4,7,9,6,5,7,4,6,3,7,7,10,1
11789,N,7,10,9,8,10,6,8,3,4,8,7,8,8,10,7,4,0
11790,B,3,9,3,7,5,7,8,8,6,7,5,7,2,7,8,9,1
11791,O,4,10,5,7,4,7,6,8,5,7,5,8,3,8,3,8,0
11792,V,3,6,5,4,2,8,9,4,2,6,13,8,3,10,0,8,0
11793,U,8,9,8,7,5,3,8,5,8,10,9,9,3,9,2,6,0
11794,F,5,7,6,5,6,7,8,6,4,8,6,8,3,10,8,10,1
11795,N,8,10,11,8,5,9,7,3,6,10,4,6,7,9,2,7,0
11796,X,2,1,4,3,2,7,8,3,9,6,6,7,2,8,6,7,0
11797,E,4,10,6,7,7,7,7,3,6,7,7,10,4,9,8,8,1
11798,L,2,3,2,5,1,0,1,5,6,0,0,7,0,8,0,8,1
11799,A,5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3,1
11800,H,2,1,3,3,2,8,7,6,6,7,6,8,3,8,3,7,1
11801,O,1,1,2,1,1,8,7,7,4,7,6,8,2,8,3,8,0
11802,F,4,11,6,8,4,9,9,2,6,13,4,4,2,10,3,9,1
11803,N,5,9,6,7,3,7,7,15,2,4,6,8,6,8,0,8,0
11804,S,2,1,2,2,2,8,8,6,4,7,5,7,2,8,8,8,0
11805,I,4,11,3,6,2,10,7,6,3,13,4,8,2,8,4,9,1
11806,L,3,7,5,5,2,4,2,7,7,1,2,4,1,6,0,6,1
11807,J,1,7,2,5,1,13,3,8,4,14,3,11,0,6,0,8,1
11808,A,4,7,6,6,5,8,8,2,4,7,7,8,5,7,4,6,1
11809,Q,6,9,8,8,8,5,4,4,6,5,4,7,4,5,6,6,0
11810,N,4,7,6,5,6,9,6,4,5,7,5,6,7,11,6,5,0
11811,W,8,8,8,6,5,2,10,2,3,11,11,9,7,10,1,7,0
11812,N,3,7,5,5,5,5,8,4,3,9,10,10,5,8,4,5,0
11813,J,5,10,6,8,5,8,6,4,5,8,6,7,3,7,4,6,1
11814,S,1,0,1,0,0,7,7,3,5,5,6,8,0,8,7,8,0
11815,D,4,8,6,6,8,9,8,5,4,7,6,6,4,8,8,6,1
11816,Y,2,4,3,3,1,6,10,1,6,8,11,8,1,11,2,7,0
11817,O,2,1,3,1,1,8,7,7,5,7,6,9,2,8,3,8,0
11818,Q,5,6,6,8,6,9,8,7,2,4,7,11,3,9,5,10,0
11819,P,4,7,6,11,11,8,6,5,1,7,6,7,7,9,7,10,0
11820,E,3,8,4,6,5,6,6,3,5,7,7,10,4,10,8,9,1
11821,E,4,7,6,5,4,9,6,2,8,11,5,8,4,7,6,10,1
11822,G,3,9,4,7,2,7,7,8,7,5,6,9,2,7,6,11,1
11823,D,4,11,6,8,5,9,7,5,7,10,5,5,3,8,3,8,1
11824,R,6,9,9,7,7,9,7,4,6,10,3,7,3,6,4,11,0
11825,V,4,8,4,6,2,3,11,3,3,10,11,8,2,10,1,7,0
11826,X,5,7,6,5,5,7,8,3,6,6,6,8,4,8,10,8,0
11827,M,6,9,8,8,10,6,8,4,3,7,5,8,10,8,5,6,1
11828,W,8,12,9,7,5,1,8,2,3,9,11,9,9,9,1,6,0
11829,E,5,10,7,8,5,10,6,2,8,11,4,8,2,8,5,11,1
11830,T,3,8,5,6,3,6,12,2,8,8,12,8,1,11,1,7,0
11831,O,3,5,4,3,2,7,7,8,5,7,6,8,2,8,3,8,0
11832,V,3,4,5,3,2,4,12,3,3,9,11,7,2,11,1,8,0
11833,E,3,7,5,5,3,9,6,2,7,11,5,8,2,9,5,11,1
11834,D,7,11,9,8,8,8,8,5,6,10,5,5,6,8,6,11,1
11835,J,2,9,3,6,2,14,3,4,4,13,1,8,0,7,0,8,1
11836,J,1,0,1,1,0,12,3,6,3,12,5,11,0,7,0,8,1
11837,S,3,9,4,7,4,8,7,7,5,7,5,6,2,8,8,8,0
11838,T,2,5,4,6,1,5,14,1,6,9,11,7,0,8,0,8,0
11839,F,5,9,7,6,7,9,7,1,5,9,5,5,5,10,4,6,1
11840,E,4,9,5,7,3,3,6,6,12,7,7,15,0,8,7,7,1
11841,U,6,10,6,8,3,4,9,5,8,11,11,8,3,9,2,6,0
11842,M,15,15,15,8,7,9,11,6,4,4,6,10,11,13,2,6,1
11843,N,2,1,2,2,1,7,9,5,4,7,6,7,4,8,1,6,0
11844,J,4,5,6,6,5,7,7,4,6,6,6,7,3,9,8,9,1
